"TEAM"	"PCT"	"Player"	"Pos"	"Age"	"GP"	"PER"
"5388"	"washington wizards"	0.51219512195122	"Carlos Terry"	"SG"	26	55	7.9
"5459"	"indiana pacers"	0.24390243902439	"George Johnson"	"SF"	26	82	12.7
"5488"	"phoenix suns"	0.646341463414634	"Jeff Cook"	"PF"	26	45	9
"5585"	"new york knicks"	0.536585365853659	"Mike Davis"	"PF"	26	8	21.1
"5601"	"dallas mavericks"	0.463414634146341	"Pat Cummings"	"C"	26	81	14.6
"5604"	"milwaukee bucks"	0.621951219512195	"Paul Mokeski"	"C"	26	50	6.9
"5676"	"golden state warriors"	0.365853658536585	"Terry Duerod"	"SG"	26	5	4.2
"5952"	"brooklyn nets"	0.548780487804878	"Reggie Johnson"	"PF"	26	72	11.3
"6213"	"sacramento kings"	0.378048780487805	"Larry Drew"	"PG"	26	72	14.7
"6297"	"washington wizards"	0.48780487804878	"Rick Mahorn"	"PF"	26	77	10.4
"6402"	"indiana pacers"	0.317073170731707	"Bryan Warrick"	"PG"	26	31	11.2
"6463"	"sacramento kings"	0.451219512195122	"Eddie Johnson"	"SF"	26	82	15.8
"6467"	"denver nuggets"	0.573170731707317	"Elston Turner"	"SG"	26	73	9.6
"6479"	"chicago bulls"	0.365853658536585	"Gene Banks"	"SF"	26	82	15.5
"6704"	"new york knicks"	0.280487804878049	"Trent Tucker"	"SG"	26	77	14.6
"6804"	"boston celtics"	0.719512195121951	"Darren Daye"	"SF"	26	61	9.6
"6810"	"boston celtics"	0.719512195121951	"David Thirdkill"	"SF"	26	17	4.5
"6828"	"san antonio spurs"	0.341463414634146	"Ed Nealy"	"PF"	26	60	11.3
"6955"	"cleveland cavaliers"	0.378048780487805	"Melvin Turpin"	"C"	26	64	13
"7177"	"dallas mavericks"	0.646341463414634	"Derek Harper"	"PG"	26	82	18.1
"7318"	"los angeles clippers"	0.207317073170732	"Michael Cage"	"PF"	26	72	16.4
"7322"	"los angeles clippers"	0.207317073170732	"Michael Phelps"	"SG"	26	2	19.3
"7395"	"brooklyn nets"	0.231707317073171	"Roy Hinson"	"SF"	26	48	15.6
"7430"	"utah jazz"	0.573170731707317	"Thurl Bailey"	"SF"	26	82	16.3
"7466"	"san antonio spurs"	0.25609756097561	"Alvin Robertson"	"SG"	26	65	17.2
"7484"	"houston rockets"	0.548780487804878	"Bernard Thompson"	"PF"	26	23	5.5
"7525"	"portland trail blazers"	0.475609756097561	"Clyde Drexler"	"SG"	26	78	23.6
"7600"	"indiana pacers"	0.341463414634146	"Greg Dreiling"	"C"	26	53	8.1
"7633"	"sacramento kings"	0.329268292682927	"Jim Petersen"	"C"	26	66	11.4
"7808"	"washington wizards"	0.48780487804878	"Steve Colter"	"PG"	26	80	14.1
"7854"	"los angeles lakers"	0.768292682926829	"A.C. Green"	"PF"	26	82	14.7
"7880"	"dallas mavericks"	0.573170731707317	"Bill Wennington"	"C"	26	60	10.6
"8028"	"los angeles clippers"	0.365853658536585	"Jim Les"	"PG"	26	6	11.3
"8093"	"washington wizards"	0.378048780487805	"Mark Alarie"	"PF"	26	82	14.1
"8116"	"utah jazz"	0.670731707317073	"Mike Brown"	"C"	26	82	12.8
"8127"	"sacramento kings"	0.280487804878049	"Mike Williams"	"PF"	26	16	5.8
"8150"	"brooklyn nets"	0.207317073170732	"Pete Myers"	"SG"	26	28	10.8
"8195"	"minnesota timberwolves"	0.268292682926829	"Sam Mitchell"	"PF"	26	80	13.7
"8227"	"charlotte hornets"	0.231707317073171	"Stuart Gray"	"C"	26	39	10.2
"8268"	"detroit pistons"	0.719512195121951	"William Bedford"	"C"	26	42	9.5
"8273"	"oklahoma city thunder"	0.5	"Xavier McDaniel"	"SF"	26	69	17.9
"8299"	"golden state warriors"	0.536585365853659	"Bart Kofoed"	"SG"	26	5	0.7
"8370"	"houston rockets"	0.634146341463415	"David Wood"	"SF"	26	82	9.6
"8418"	"denver nuggets"	0.24390243902439	"Greg Anderson"	"PF"	26	41	9.2
"8490"	"denver nuggets"	0.24390243902439	"Kenny Battle"	"SG"	26	40	12.3
"8587"	"denver nuggets"	0.24390243902439	"Reggie Williams"	"SF"	26	51	14.6
"8631"	"dallas mavericks"	0.341463414634146	"Steve Alford"	"PG"	26	34	20.5
"8687"	"los angeles clippers"	0.378048780487805	"Winston Garland"	"PG"	26	69	12.1
"8708"	"houston rockets"	0.51219512195122	"Avery Johnson"	"PG"	26	49	12.3
"8720"	"utah jazz"	0.670731707317073	"Blue Edwards"	"SF"	26	81	13.7
"8946"	"portland trail blazers"	0.695121951219512	"Mark Bryant"	"PF"	26	56	11.3
"8948"	"new york knicks"	0.621951219512195	"Mark Jackson"	"PG"	26	81	17.8
"9033"	"chicago bulls"	0.817073170731707	"Scottie Pippen"	"SF"	26	82	21.5
"9133"	"philadelphia 76ers"	0.317073170731707	"Andrew Lang"	"C"	26	73	9.3
"9137"	"new york knicks"	0.731707317073171	"Anthony Mason"	"PF"	26	81	12.9
"9156"	"new york knicks"	0.731707317073171	"Bo Kimble"	"SG"	26	9	9.6
"9189"	"portland trail blazers"	0.621951219512195	"Clifford Robinson"	"PF"	26	82	18.8
"9262"	"miami heat"	0.439024390243902	"Grant Long"	"PF"	26	76	14.7
"9267"	"philadelphia 76ers"	0.317073170731707	"Greg Grant"	"PG"	26	72	8.7
"9300"	"cleveland cavaliers"	0.658536585365854	"Jerome Lane"	"PF"	26	21	18.1
"9333"	"philadelphia 76ers"	0.317073170731707	"Kenny Payne"	"SF"	26	13	14.2
"9477"	"sacramento kings"	0.304878048780488	"Stan Kimbrough"	"PG"	26	3	8.2
"9524"	"san antonio spurs"	0.597560975609756	"Vinny Del Negro"	"PG"	26	73	13.9
"9650"	"brooklyn nets"	0.548780487804878	"Derrick Coleman"	"PF"	26	77	21.4
"9762"	"golden state warriors"	0.609756097560976	"Josh Grant"	"PF"	26	53	11.7
"9823"	"denver nuggets"	0.51219512195122	"Mark Randall"	"PF"	26	28	11.2
"9927"	"oklahoma city thunder"	0.768292682926829	"Steve Scheffler"	"C"	26	35	17.7
"9997"	"new york knicks"	0.670731707317073	"Anthony Bonner"	"PF"	26	58	9.4
"10088"	"orlando magic"	0.695121951219512	"Dennis Scott"	"SF"	26	62	16.3
"10120"	"los angeles lakers"	0.585365853658537	"Elden Campbell"	"PF"	26	73	15.4
"10188"	"brooklyn nets"	0.365853658536585	"Jayson Williams"	"PF"	26	75	16.2
"10376"	"chicago bulls"	0.573170731707317	"Toni Kukoc"	"SF"	26	81	19.8
"10390"	"cleveland cavaliers"	0.524390243902439	"Tyrone Hill"	"C"	26	70	16.8
"10427"	"memphis grizzlies"	0.182926829268293	"Anthony Avent"	"PF"	26	71	6.9
"10499"	"minnesota timberwolves"	0.317073170731707	"Christian Laettner"	"C"	26	44	18
"10671"	"cleveland cavaliers"	0.573170731707317	"John Crotty"	"PG"	26	58	13
"10718"	"dallas mavericks"	0.317073170731707	"Lorenzo Williams"	"C"	26	65	9.6
"10731"	"detroit pistons"	0.560975609756098	"Mark Macon"	"PG"	26	23	9.5
"10765"	"brooklyn nets"	0.365853658536585	"P.J. Brown"	"C"	26	81	12.6
"10791"	"boston celtics"	0.402439024390244	"Rick Fox"	"SF"	26	81	16.1
"11096"	"memphis grizzlies"	0.170731707317073	"George Lynch"	"SF"	26	41	15.4
"11211"	"detroit pistons"	0.658536585365854	"Litterial Green"	"PG"	26	45	13.5
"11246"	"chicago bulls"	0.841463414634146	"Matt Steigenga"	"SF"	26	2	7
"11268"	"dallas mavericks"	0.292682926829268	"Oliver Miller"	"C"	26	42	11.6
"11355"	"utah jazz"	0.780487804878049	"Stephen Howard"	"SF"	26	42	15.4
"11426"	"orlando magic"	0.5	"Anfernee Hardaway"	"SG"	26	19	15.9
"11456"	"orlando magic"	0.5	"Bo Outlaw"	"PF"	26	82	15.5
"11460"	"sacramento kings"	0.329268292682927	"Bobby Hurley"	"PG"	26	34	10.2
"11641"	"portland trail blazers"	0.560975609756098	"Isaiah Rider"	"SG"	26	74	15.2
"11849"	"sacramento kings"	0.329268292682927	"Terry Dehere"	"PG"	26	77	10.8
"12086"	"indiana pacers"	0.66	"Fred Hoiberg"	"SG"	26	12	4
"12471"	"sacramento kings"	0.536585365853659	"Chris Webber"	"PF"	26	75	23.4
"12491"	"portland trail blazers"	0.719512195121951	"Damon Stoudamire"	"PG"	26	78	15.5
"12499"	"milwaukee bucks"	0.51219512195122	"Darvin Ham"	"SF"	26	35	12.8
"12552"	"los angeles clippers"	0.182926829268293	"Etdrick Bohannon"	"PF"	26	11	10.6
"12595"	"golden state warriors"	0.231707317073171	"Jason Caffey"	"PF"	26	71	12.4
"12596"	"phoenix suns"	0.646341463414634	"Jason Kidd"	"PG"	26	67	18.4
"12837"	"miami heat"	0.634146341463415	"Voshon Lenard"	"SG"	26	53	13.9
"12866"	"cleveland cavaliers"	0.365853658536585	"Anthony Johnson"	"PG"	26	28	9.1
"12936"	"detroit pistons"	0.390243902439024	"Chucky Atkins"	"PG"	26	81	12.2
"12976"	"los angeles lakers"	0.682926829268293	"Derek Fisher"	"PG"	26	20	14
"13026"	"washington wizards"	0.231707317073171	"Felipe López"	"SG"	26	47	11.9
"13033"	"dallas mavericks"	0.646341463414634	"Gary Trent"	"PF"	26	33	13.8
"13054"	"san antonio spurs"	0.707317073170732	"Ira Newble"	"SF"	26	27	8.9
"13149"	"golden state warriors"	0.207317073170732	"Marc Jackson"	"C"	26	48	16.1
"13277"	"dallas mavericks"	0.646341463414634	"Steve Nash"	"PG"	26	70	19.6
"13361"	"san antonio spurs"	0.707317073170732	"Antonio Daniels"	"SG"	26	82	13.4
"13638"	"denver nuggets"	0.329268292682927	"Mengke Bateer"	"C"	26	27	8
"13652"	"miami heat"	0.439024390243902	"Mike James"	"PG"	26	15	9.4
"13715"	"portland trail blazers"	0.597560975609756	"Ruben Patterson"	"SF"	26	75	18.8
"13763"	"brooklyn nets"	0.634146341463415	"Todd MacCulloch"	"C"	26	62	17.7
"13789"	"boston celtics"	0.597560975609756	"Vitaly Potapenko"	"C"	26	79	11.4
"14144"	"denver nuggets"	0.207317073170732	"Predrag Savovic"	"SG"	26	27	6
"14185"	"los angeles lakers"	0.609756097560976	"Samaki Walker"	"C"	26	67	11.6
"14317"	"golden state warriors"	0.451219512195122	"Brian Cardinal"	"PF"	26	76	19.4
"14396"	"portland trail blazers"	0.5	"Desmond Ferguson"	"SF"	26	7	11.3
"14444"	"orlando magic"	0.25609756097561	"Gordan Giricek"	"SF"	26	48	11.9
"14492"	"cleveland cavaliers"	0.426829268292683	"Jelani McCoy"	"C"	26	2	-3.8
"14715"	"houston rockets"	0.548780487804878	"Steve Francis"	"PG"	26	79	15.8
"14925"	"dallas mavericks"	0.707317073170732	"Dirk Nowitzki"	"PF"	26	78	26.1
"15016"	"indiana pacers"	0.536585365853659	"Jermaine O'Neal"	"PF"	26	44	22.9
"15070"	"los angeles lakers"	0.414634146341463	"Kobe Bryant"	"SG"	26	66	23.3
"15125"	"sacramento kings"	0.609756097560976	"Maurice Evans"	"SG"	26	65	12.1
"15150"	"toronto raptors"	0.402439024390244	"Milt Palacio"	"PG"	26	80	12.5
"15234"	"phoenix suns"	0.75609756097561	"Shawn Marion"	"PF"	26	81	21.7
"15338"	"atlanta hawks"	0.317073170731707	"Anthony Grundy"	"SG"	26	12	16.6
"15348"	"new orleans pelicans"	0.463414634146341	"Arvydas Macijauskas"	"SG"	26	19	8.3
"15542"	"portland trail blazers"	0.25609756097561	"Joel Przybilla"	"C"	26	56	15.3
"15589"	"los angeles lakers"	0.548780487804878	"Lamar Odom"	"PF"	26	80	17
"15696"	"chicago bulls"	0.5	"Randy Holcomb"	"SF"	26	4	8.2
"15755"	"los angeles lakers"	0.548780487804878	"Stanislav Medvedenko"	"PF"	26	2	11
"15780"	"houston rockets"	0.414634146341463	"Tracy McGrady"	"SF"	26	47	21.9
"15880"	"los angeles lakers"	0.51219512195122	"Brian Cook"	"PF"	26	65	14.8
"16255"	"denver nuggets"	0.548780487804878	"Steve Blake"	"PG"	26	49	11
"16264"	"detroit pistons"	0.646341463414634	"Tayshaun Prince"	"SF"	26	82	16
"16391"	"memphis grizzlies"	0.268292682926829	"Casey Jacobsen"	"SG"	26	53	4.5
"16447"	"washington wizards"	0.524390243902439	"DeShawn Stevenson"	"SG"	26	82	12.6
"16466"	"miami heat"	0.182926829268293	"Earl Barron"	"C"	26	46	9.4
"16529"	"toronto raptors"	0.5	"Jason Kapono"	"SF"	26	81	10.8
"17043"	"houston rockets"	0.646341463414634	"James White"	"SF"	26	4	14.6
"17116"	"detroit pistons"	0.475609756097561	"Kwame Brown"	"C"	26	58	11.5
"17126"	"phoenix suns"	0.560975609756098	"Leandro Barbosa"	"SG"	26	70	19.4
"17182"	"orlando magic"	0.719512195121951	"Mickaël Piétrus"	"SG"	26	54	11.6
"17623"	"golden state warriors"	0.317073170731707	"Kelenna Azubuike"	"SF"	26	9	19.8
"17812"	"indiana pacers"	0.390243902439024	"T.J. Ford"	"PG"	26	47	13.4
"18159"	"oklahoma city thunder"	0.670731707317073	"Kendrick Perkins"	"C"	26	17	9.1
"18246"	"washington wizards"	0.280487804878049	"Mustafa Shakur"	"PG"	26	22	6.8
"18265"	"new orleans pelicans"	0.560975609756098	"Patrick Ewing"	"SF"	26	7	0.6
"18494"	"houston rockets"	0.515151515151515	"Courtney Lee"	"SG"	26	58	12.6
"18548"	"golden state warriors"	0.348484848484849	"Dorell Wright"	"SF"	26	61	15
"18661"	"brooklyn nets"	0.333333333333333	"Johan Petro"	"C"	26	59	10.3
"18716"	"portland trail blazers"	0.424242424242424	"LaMarcus Aldridge"	"PF"	26	55	22.7
"18740"	"chicago bulls"	0.757575757575758	"Luol Deng"	"SF"	26	54	14.1
"18786"	"washington wizards"	0.303030303030303	"Nick Young"	"SG"	26	40	14.2
"19008"	"boston celtics"	0.506172839506173	"D.J. White"	"PF"	26	12	14.7
"19150"	"new orleans pelicans"	0.329268292682927	"Jason Smith"	"C"	26	51	16.8
"19163"	"cleveland cavaliers"	0.292682926829268	"Jeremy Pargo"	"PG"	26	25	11.3
"19273"	"miami heat"	0.804878048780488	"Mario Chalmers"	"PG"	26	77	13.3
"19280"	"washington wizards"	0.353658536585366	"Martell Webster"	"SF"	26	76	13.9
"19313"	"houston rockets"	0.548780487804878	"Ömer Asik"	"C"	26	82	14.9
"19340"	"charlotte hornets"	0.25609756097561	"Reggie Williams"	"SF"	26	40	13.2
"19497"	"dallas mavericks"	0.597560975609756	"Brandan Wright"	"C"	26	58	23.5
"19638"	"oklahoma city thunder"	0.719512195121951	"Hasheem Thabeet"	"C"	26	23	2.6
"19690"	"utah jazz"	0.304878048780488	"Jeremy Evans"	"SF"	26	66	16.2
"19720"	"los angeles lakers"	0.329268292682927	"Jordan Hill"	"PF"	26	72	19.3
"19725"	"charlotte hornets"	0.524390243902439	"Josh McRoberts"	"PF"	26	78	13.8
"19796"	"golden state warriors"	0.621951219512195	"Marreese Speights"	"C"	26	79	15.2
"19840"	"milwaukee bucks"	0.182926829268293	"O.J. Mayo"	"SG"	26	52	11.2
"19914"	"cleveland cavaliers"	0.402439024390244	"Shane Edwards"	"SF"	26	2	-1
"19959"	"washington wizards"	0.536585365853659	"Trevor Booker"	"PF"	26	72	15
"20003"	"new orleans pelicans"	0.548780487804878	"Alexis Ajinça"	"C"	26	68	19.9
"20120"	"chicago bulls"	0.609756097560976	"Derrick Rose"	"PG"	26	51	15.9
"20158"	"boston celtics"	0.48780487804878	"Evan Turner"	"SG"	26	82	12.8
"20162"	"new orleans pelicans"	0.548780487804878	"Gal Mekel"	"PG"	26	4	0.5
"20202"	"oklahoma city thunder"	0.548780487804878	"Ish Smith"	"PG"	26	30	9
"20244"	"atlanta hawks"	0.731707317073171	"Jeff Teague"	"PG"	26	73	20.6
"20282"	"milwaukee bucks"	0.5	"Jorge Gutiérrez"	"PG"	26	10	11.1
"20306"	"oklahoma city thunder"	0.548780487804878	"Kevin Durant"	"SF"	26	27	27.6
"20328"	"new york knicks"	0.207317073170732	"Lance Thomas"	"PF"	26	40	8.6
"20333"	"milwaukee bucks"	0.5	"Larry Sanders"	"C"	26	27	15.2
"20420"	"san antonio spurs"	0.670731707317073	"Patty Mills"	"PG"	26	51	13
"20465"	"new orleans pelicans"	0.548780487804878	"Ryan Anderson"	"PF"	26	61	15.6
"20609"	"brooklyn nets"	0.25609756097561	"Bojan Bogdanovic"	"SF"	26	79	10.7
"20615"	"orlando magic"	0.426829268292683	"Brandon Jennings"	"PG"	26	25	14.3
"20684"	"toronto raptors"	0.682926829268293	"DeMar DeRozan"	"SG"	26	78	21.5
"20707"	"chicago bulls"	0.51219512195122	"E'Twaun Moore"	"SG"	26	59	11.4
"20800"	"new orleans pelicans"	0.365853658536585	"Jimmer Fredette"	"SG"	26	4	-1.6
"20817"	"phoenix suns"	0.280487804878049	"Jon Leuer"	"PF"	26	67	16.2
"21285"	"cleveland cavaliers"	0.621951219512195	"Iman Shumpert"	"SG"	26	76	9
"21445"	"portland trail blazers"	0.5	"Mason Plumlee"	"C"	26	54	18.9
"21508"	"brooklyn nets"	0.24390243902439	"Quincy Acy"	"PF"	26	32	13.1
"21521"	"detroit pistons"	0.451219512195122	"Reggie Jackson"	"PG"	26	52	14.9
"21525"	"minnesota timberwolves"	0.378048780487805	"Ricky Rubio"	"PG"	26	75	16.8
"21555"	"utah jazz"	0.621951219512195	"Shelvin Mack"	"PG"	26	55	10.9
"21636"	"orlando magic"	0.304878048780488	"Adreian Payne"	"PF"	26	5	18.8
"21786"	"new york knicks"	0.353658536585366	"Doug McDermott"	"SF"	26	55	9.9
"21861"	"sacramento kings"	0.329268292682927	"Jack Cooley"	"PF"	26	7	19.7
"21920"	"san antonio spurs"	0.573170731707317	"Joffrey Lauvergne"	"C"	26	55	16.5
"21990"	"detroit pistons"	0.475609756097561	"Langston Galloway"	"SG"	26	58	12.2
"22076"	"new orleans pelicans"	0.585365853658537	"Nikola Mirotic"	"PF"	26	30	16.3
"22300"	"sacramento kings"	0.475609756097561	"Buddy Hield"	"SG"	26	82	17.5
"22698"	"milwaukee bucks"	0.731707317073171	"Pat Connaughton"	"SG"	26	61	13.6
"22730"	"cleveland cavaliers"	0.231707317073171	"Rodney Hood"	"SG"	26	45	13
"51"	"philadelphia 76ers"	0.486111111111111	"George King"	"PG"	27	72	13.1
"97"	"los angeles lakers"	0.458333333333333	"Vern Mikkelsen"	"PF"	27	72	16.8
"173"	"golden state warriors"	0.513888888888889	"Lew Hitch"	"PF"	27	38	9.3
"449"	"los angeles lakers"	0.333333333333333	"Dick Garmaker"	"G-F"	27	44	12.3
"484"	"boston celtics"	0.786666666666667	"K.C. Jones"	"PG"	27	74	12.6
"512"	"golden state warriors"	0.653333333333333	"Tom Gola"	"SG"	27	75	15.4
"527"	"atlanta hawks"	0.645569620253165	"Al Ferrari"	"SG"	27	63	8.5
"577"	"new york knicks"	0.265822784810127	"Jim Palmer"	"C"	27	55	9.8
"597"	"new york knicks"	0.265822784810127	"Phil Rollins"	"SG"	27	40	9.8
"802"	"golden state warriors"	0.3875	"Guy Rodgers"	"PG"	27	79	12.9
"874"	"sacramento kings"	0.6875	"Adrian Smith"	"SG"	27	66	10.7
"957"	"sacramento kings"	0.6875	"Larry Staverman"	"PF"	27	34	12.8
"1172"	"sacramento kings"	0.5625	"Jay Arnette"	"G"	27	3	-9
"1209"	"sacramento kings"	0.5625	"Oscar Robertson"	"PG"	27	76	25.2
"1327"	"boston celtics"	0.740740740740741	"Larry Siegfried"	"PG"	27	73	16.2
"1420"	"detroit pistons"	0.48780487804878	"Eddie Miles"	"SG"	27	76	16.6
"1450"	"sacramento kings"	0.475609756097561	"Jerry Lucas"	"PF"	27	82	19.8
"1488"	"washington wizards"	0.439024390243902	"Leroy Ellis"	"C"	27	78	13.7
"1515"	"detroit pistons"	0.48780487804878	"Terry Dischinger"	"SF"	27	78	16.2
"1564"	"phoenix suns"	0.195121951219512	"Bob Warlick"	"SG"	27	63	13.5
"1631"	"los angeles lakers"	0.670731707317073	"Jay Carty"	"PF"	27	28	10.1
"1765"	"phoenix suns"	0.475609756097561	"Connie Hawkins"	"SF"	27	81	19.7
"1902"	"atlanta hawks"	0.585365853658537	"Walt Hazzard"	"PG"	27	82	15.7
"1913"	"washington wizards"	0.51219512195122	"Al Tucker"	"PF"	27	31	13.7
"1980"	"washington wizards"	0.51219512195122	"Dorie Murrey"	"PF"	27	69	10.2
"2165"	"philadelphia 76ers"	0.365853658536585	"Bob Rule"	"C"	27	60	14.9
"2205"	"oklahoma city thunder"	0.573170731707317	"Dick Snyder"	"SG"	27	73	15.8
"2214"	"new york knicks"	0.585365853658537	"Earl Monroe"	"SG"	27	60	14.9
"2282"	"golden state warriors"	0.621951219512195	"Joe Ellis"	"SF"	27	78	12.3
"2680"	"new york knicks"	0.597560975609756	"Dick Garrett"	"SG"	27	25	6
"2814"	"chicago bulls"	0.658536585365854	"Rick Adelman"	"PG"	27	55	10
"2884"	"golden state warriors"	0.585365853658537	"Butch Beard"	"PG"	27	82	16.1
"2894"	"houston rockets"	0.5	"Cliff Meely"	"PF"	27	48	14.7
"3027"	"los angeles lakers"	0.365853658536585	"Lucius Allen"	"PG"	27	56	17.8
"3152"	"golden state warriors"	0.719512195121951	"Clifford Ray"	"C"	27	82	14.1
"3159"	"phoenix suns"	0.51219512195122	"Curtis Perry"	"PF"	27	71	15.8
"3237"	"los angeles lakers"	0.48780487804878	"Jim McDaniels"	"C"	27	35	11.9
"3267"	"new york knicks"	0.463414634146341	"Ken Mayfield"	"SG"	27	13	7.3
"3350"	"sacramento kings"	0.378048780487805	"Tiny Archibald"	"PG"	27	78	20.1
"3464"	"golden state warriors"	0.560975609756098	"Dwight Davis"	"PF"	27	33	8.6
"3472"	"cleveland cavaliers"	0.524390243902439	"Elmore Smith"	"C"	27	36	17.6
"3620"	"sacramento kings"	0.48780487804878	"Ollie Johnson"	"SF"	27	81	12.6
"3776"	"portland trail blazers"	0.707317073170732	"Dave Twardzik"	"PG"	27	75	14.3
"3810"	"utah jazz"	0.475609756097561	"Freddie Boyd"	"SG"	27	21	7.7
"3967"	"indiana pacers"	0.378048780487805	"Ron Behagen"	"PF"	27	51	13.5
"4058"	"new york knicks"	0.378048780487805	"Bob McAdoo"	"PF"	27	40	21.5
"4104"	"philadelphia 76ers"	0.573170731707317	"Doug Collins"	"SG"	27	47	16
"4192"	"los angeles clippers"	0.524390243902439	"Kevin Kunnert"	"C"	27	81	12.8
"4421"	"los angeles lakers"	0.731707317073171	"Don Ford"	"SF"	27	52	8.3
"4444"	"san antonio spurs"	0.5	"George Gervin"	"SG"	27	78	24
"4520"	"denver nuggets"	0.365853658536585	"Kim Hughes"	"C"	27	70	11.5
"4543"	"los angeles clippers"	0.426829268292683	"Marvin Barnes"	"PF"	27	20	8.2
"4550"	"indiana pacers"	0.451219512195122	"Mickey Johnson"	"PF"	27	82	20.3
"4786"	"los angeles lakers"	0.658536585365854	"Jamaal Wilkes"	"SF"	27	81	18
"5007"	"phoenix suns"	0.560975609756098	"Alvan Adams"	"C"	27	79	18.6
"5272"	"brooklyn nets"	0.536585365853659	"Ray Williams"	"SG"	27	82	19
"5579"	"golden state warriors"	0.365853658536585	"Micheal Ray Richardson"	"PG"	27	33	13.6
"5588"	"atlanta hawks"	0.524390243902439	"Mike Glenn"	"SG"	27	73	15.1
"5737"	"los angeles lakers"	0.658536585365854	"Calvin Garrett"	"SF"	27	41	10.2
"5750"	"philadelphia 76ers"	0.634146341463415	"Clemon Johnson"	"C"	27	80	9.1
"5772"	"san antonio spurs"	0.451219512195122	"Dave Batton"	"C"	27	4	6.4
"5794"	"san antonio spurs"	0.451219512195122	"Edgar Jones"	"PF"	27	81	14.9
"5832"	"cleveland cavaliers"	0.341463414634146	"Jeff Cook"	"C"	27	81	11.2
"5878"	"boston celtics"	0.75609756097561	"Larry Bird"	"PF"	27	79	24.2
"5913"	"los angeles lakers"	0.658536585365854	"Michael Cooper"	"SG"	27	82	14.1
"6029"	"houston rockets"	0.585365853658537	"Allen Leavell"	"PG"	27	42	11.4
"6067"	"washington wizards"	0.48780487804878	"Charles Jones"	"C"	27	28	15.1
"6103"	"chicago bulls"	0.463414634146341	"Dave Greenwood"	"PF"	27	61	9.4
"6174"	"portland trail blazers"	0.51219512195122	"Jim Paxson"	"SG"	27	68	17.3
"6285"	"golden state warriors"	0.268292682926829	"Purvis Short"	"SF"	27	78	18.9
"6328"	"milwaukee bucks"	0.719512195121951	"Sidney Moncrief"	"PG"	27	73	20.1
"6330"	"atlanta hawks"	0.414634146341463	"Sly Williams"	"SF"	27	34	12.9
"6375"	"milwaukee bucks"	0.695121951219512	"Alton Lister"	"C"	27	81	16.4
"6515"	"washington wizards"	0.475609756097561	"Jeff Ruland"	"PF"	27	30	20
"6577"	"new york knicks"	0.280487804878049	"Louis Orr"	"SF"	27	74	12.4
"6800"	"los angeles clippers"	0.146341463414634	"Darnell Valentine"	"PG"	27	65	14.5
"6822"	"atlanta hawks"	0.695121951219512	"Dominique Wilkins"	"SF"	27	79	23.5
"6856"	"milwaukee bucks"	0.609756097560976	"Hank McDowell"	"PF"	27	7	10.7
"6878"	"sacramento kings"	0.353658536585366	"Jerry Eaves"	"PG"	27	3	-6.9
"6937"	"houston rockets"	0.51219512195122	"Lewis Lloyd"	"SG"	27	32	15.8
"6939"	"los angeles lakers"	0.792682926829268	"Magic Johnson"	"PG"	27	80	27
"6945"	"philadelphia 76ers"	0.548780487804878	"Mark McNamara"	"C"	27	11	8.2
"6962"	"brooklyn nets"	0.292682926829268	"Michael Wilson"	"SG"	27	5	2.6
"6970"	"atlanta hawks"	0.695121951219512	"Mike McGee"	"SF"	27	76	15.2
"7016"	"golden state warriors"	0.51219512195122	"Rod Higgins"	"SF"	27	73	14.1
"7018"	"dallas mavericks"	0.670731707317073	"Rolando Blackman"	"SG"	27	80	18.1
"7152"	"milwaukee bucks"	0.51219512195122	"Craig Hodges"	"SG"	27	43	11.3
"7196"	"denver nuggets"	0.658536585365854	"Fat Lever"	"SG"	27	82	20.5
"7447"	"detroit pistons"	0.658536585365854	"Walker Russell"	"PG"	27	1	-1.8
"7542"	"washington wizards"	0.48780487804878	"Darrell Walker"	"PG"	27	79	13.4
"7559"	"detroit pistons"	0.768292682926829	"Dennis Rodman"	"SF"	27	82	16.3
"7716"	"charlotte hornets"	0.24390243902439	"Mike Holton"	"PG"	27	67	12.3
"7784"	"brooklyn nets"	0.317073170731707	"Roy Hinson"	"SF"	27	82	14.7
"7882"	"denver nuggets"	0.524390243902439	"Blair Rasmussen"	"C"	27	81	16
"7886"	"philadelphia 76ers"	0.646341463414634	"Bob Thornton"	"PF"	27	56	6.1
"7922"	"portland trail blazers"	0.719512195121951	"Clyde Drexler"	"SG"	27	73	22.2
"7941"	"utah jazz"	0.670731707317073	"Delaney Rudd"	"PG"	27	77	8.6
"7985"	"indiana pacers"	0.51219512195122	"Greg Dreiling"	"C"	27	49	6
"8010"	"milwaukee bucks"	0.536585365853659	"Jay Humphries"	"PG"	27	81	16.4
"8125"	"golden state warriors"	0.451219512195122	"Mike Smrek"	"C"	27	13	7.1
"8240"	"houston rockets"	0.5	"Tim McCormick"	"C"	27	18	2.6
"8250"	"minnesota timberwolves"	0.268292682926829	"Tony Campbell"	"SG"	27	82	17.1
"8254"	"minnesota timberwolves"	0.268292682926829	"Tyrone Corbin"	"SF"	27	82	15.9
"8327"	"philadelphia 76ers"	0.536585365853659	"Charles Barkley"	"SF"	27	67	28.9
"8414"	"new york knicks"	0.475609756097561	"Gerald Wilkins"	"SG"	27	68	13.3
