"TEAM"	"PCT"	"Player"	"Pos"	"Age"	"GP"	"PER"
"4892"	"brooklyn nets"	0.292682926829268	"Mike Gminski"	"C"	21	56	14.5
"5428"	"golden state warriors"	0.365853658536585	"Derek Smith"	"SF"	21	27	6.9
"5518"	"oklahoma city thunder"	0.585365853658537	"John Greig"	"SF"	21	9	19.9
"5754"	"portland trail blazers"	0.585365853658537	"Clyde Drexler"	"SG"	21	82	14.5
"5797"	"chicago bulls"	0.329268292682927	"Ennis Whatley"	"PG"	21	80	13.5
"6383"	"los angeles clippers"	0.390243902439024	"Benoit Benjamin"	"C"	21	79	16.1
"7276"	"cleveland cavaliers"	0.51219512195122	"Kevin Johnson"	"PG"	21	52	13.4
"7563"	"houston rockets"	0.548780487804878	"Derrick Chievous"	"SF"	21	81	11.6
"7999"	"charlotte hornets"	0.231707317073171	"J.R. Reid"	"C"	21	82	10.2
"8009"	"los angeles clippers"	0.365853658536585	"Jay Edwards"	"SG"	21	4	7.8
"8456"	"new york knicks"	0.475609756097561	"Jerrod Mustaf"	"PF"	21	62	8.3
"9047"	"orlando magic"	0.25609756097561	"Stanley Roberts"	"C"	21	55	16.3
"9724"	"dallas mavericks"	0.158536585365854	"Jamal Mashburn"	"SF"	21	79	13.2
"10185"	"dallas mavericks"	0.439024390243902	"Jason Kidd"	"PG"	21	79	15.1
"10558"	"portland trail blazers"	0.536585365853659	"Dontonio Wingfield"	"SF"	21	44	11.1
"10778"	"washington wizards"	0.475609756097561	"Rasheed Wallace"	"PF"	21	65	11.8
"11237"	"toronto raptors"	0.365853658536585	"Martin Lewis"	"SF"	21	9	10.9
"11285"	"milwaukee bucks"	0.402439024390244	"Ray Allen"	"SG"	21	82	14.6
"11693"	"los angeles clippers"	0.207317073170732	"Keith Closs"	"C"	21	58	14
"11702"	"minnesota timberwolves"	0.548780487804878	"Kevin Garnett"	"PF"	21	82	20.4
"11867"	"denver nuggets"	0.134146341463415	"Tony Battie"	"PF"	21	65	13.3
"11879"	"utah jazz"	0.75609756097561	"Troy Hudson"	"PG"	21	8	19.1
"12137"	"oklahoma city thunder"	0.5	"Jelani McCoy"	"C"	21	26	21.1
"12318"	"brooklyn nets"	0.32	"Stephon Marbury"	"PG"	21	31	21.8
"12480"	"chicago bulls"	0.207317073170732	"Corey Benjamin"	"SG"	21	48	9.7
"12522"	"atlanta hawks"	0.341463414634146	"Dion Glover"	"SG"	21	30	12.4
"12523"	"dallas mavericks"	0.48780487804878	"Dirk Nowitzki"	"PF"	21	82	17.5
"12656"	"philadelphia 76ers"	0.597560975609756	"Larry Hughes"	"SG"	21	50	13.9
"12784"	"phoenix suns"	0.646341463414634	"Shawn Marion"	"SF"	21	51	17.1
"12942"	"los angeles clippers"	0.378048780487805	"Corey Maggette"	"SF"	21	69	18.2
"13011"	"chicago bulls"	0.182926829268293	"Elton Brand"	"PF"	21	74	20.4
"13103"	"philadelphia 76ers"	0.682926829268293	"Jumaine Jones"	"SF"	21	65	14.2
"13127"	"los angeles clippers"	0.378048780487805	"Lamar Odom"	"PF"	21	76	18.9
"13219"	"oklahoma city thunder"	0.536585365853659	"Rashard Lewis"	"PF"	21	78	17.3
"13341"	"indiana pacers"	0.51219512195122	"Al Harrington"	"PF"	21	44	14.3
"13377"	"washington wizards"	0.451219512195122	"Bobby Simmons"	"SF"	21	30	13.2
"13430"	"chicago bulls"	0.25609756097561	"Dalibor Bagaric"	"C"	21	50	8.6
"13579"	"indiana pacers"	0.51219512195122	"Jonathan Bender"	"SF"	21	78	10.6
